Cod_asigna,Cod_materia,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310044,,PRECALCULO,T,3,0,1
11310002,,PROGRAMACION DE COMPUTADORES,T,2,1,1
11010003,,QUIMICA I,T,2,1,1
17210004,,ETICA,T,2,0,1
18610031,,ANALISIS DE TEXTOS,T,2,0,1
32510001,,FOUNDATION PROJECT,T,1,2,1
60110260,,"CATEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2,0,1
11210007,,CONSTITUCION POLITICA E INSTRUCCION CIVICA,T,2,0,2
11310003,,CALCULO 1,T,3,0,2
18610030,,ANALISIS DE ARGUMENTOS,T,2,0,2
32510002,,CONTABILIDAD Y MATEMATICAS FINANCIERAS,T,3,0,2
32510003,,SISTEMAS DE PRODUCCION Y SERVICIOS,T,3,0,2
73210064,,FISICA 1,T,2,1,2
11310031,,PROBABILIDAD Y ESTADISTICA 1,T,2,1,3
11310030,,ALGEBRA LINEAL,T,3,0,3
11310004,,CALCULO 2,T,3,0,3
11310032,,CORNERSTONE PROJECT,T,0,3,3
73210065,,FISICA 2,T,2,1,3
13210175,,MICROECONOMIA,T,3,0,3
18610032,,ESCRITURA DE ENSAYOS DE OPINION,T,2,0,4
11310012,,OPTIMIZACION,T,2,1,4
11310036,,CALCULO 3,T,2,0,4
11310033,,PROBABILIDAD Y ESTADISTICA 2,T,1,1,4
11310017,,INGENIERIA DE DATOS,T,2,1,4
32510004,,LOGISTICA,T,3,0,5
73210066,,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,T,2,1,5
11310013,,ANALISIS ESTADISTICO DE DATOS,T,2,1,5
11310041,,KEYSTONE PROJECT,T,0,3,5
32510006,,SIMULACION,T,2,1,6
32510005,,FINANZAS,T,3,0,6
32510007,,ESTRATEGIA Y TRANSFORMACION ORGANIZACIONAL,T,3,0,7
11310028,,SEMINARIO DE GRADO,P,1,0,8
11310029,,CAPSTONE PROJECT,P,0,3,8
11310054,,TRABAJO DE GRADO 1,P,4,0,8
11310055,,TRABAJO DE GRADO 2,P,4,0,8
,,,,,,
ELECTIVAS DE PROFUNDIZACION,,,,,,
Cod_asigna,Cod_materia,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
32510009,,CADENAS DE SUMINISTRO SOSTENIBLES,C,2,1,
32510008,,MODELOS MATEMATICOS APLICADOS EN CADENAS DE SUMINISTRO,C,2,1,
11320028,,MODELADO CON DINAMICA DE SISTEMAS,C,2,1,
32519999,,PROVISIONAL INGENIERIAS FALTAN ASIGNATURAS,C,18,0,
11310067,,BIG DATA,C,1,1,
11310066,,ANALISIS AVANZADO DE DATOS,C,1,1,
11310063,,APRENDIZAJE AUTOMATICO DE MAQUINA I,C,1,1,
11310052,,REDES DE COMPUTADORES,C,1,1,
11310068,,COMPUTACION EN LA NUBE,C,1,1,
11310077,,SENSORES Y ACTUADORES,C,2,1,
11310078,,TEORIA DE NUMEROS,C,3,0,
11310079,,OPERATING SYSTEMS,C,3,0,
11310080,,REDES DE DISPOSITIVOS,C,2,1,
11310081,,ANALISIS FUNCIONAL,C,3,0,
15210003,,CONTABILIDAD FINANCIERA,C,3,0,
32610007,,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRONICOS,C,1,1,
32710001,,ENERGIA Y MEDIO AMBIENTE,C,3,0,
83020002,,TERRITORIO Y ESPACIO URBANO,C,4,0,
11310076,,COMPENSA COMPLEMENTARIA_2 POR COTERMINAL,C,0,4,
11310075,,COMPENSA COMPLEMENTARIA_1 POR COTERMINAL,C,0,4,
11310073,,DESARROLLO MOVIL,C,1,1,
11310071,,GEOMETRIA NO EUCLIDEANA,C,1,1,
11310070,,DISENO Y ARQUITECTURA DE SOFTWARE,C,1,1,
11310068,,COMPUTACION EN LA NUBE,C,1,1,
11310060,,SEGURIDAD DE REDES,C,1,1,
11310052,,REDES DE COMPUTADORES,C,1,1,
11310046,,ELECTIVA DESARROLLO WEB,C,1,1,
11310038,,VARIABLE COMPLEJA,C,1,1,
11310018,,ALGEBRA ABSTRACTA Y CODIFICACION,C,4,0,
11310014,,TEORIA DE GRAFOS,C,3,0,
